jobtitle,jobdescription,skills,experience
Technical Head & Senior Developers,"Job Description Â Send me Jobs like this Senior / Management level candidates with 8 - 10 years of hardcore programming and technical experience to manage the development process. The candidate should have sound leadership skills, able to motivate and manage a large team of developers with high focus on quality. Skill set: ASP.NET 3.5, WCF, AJAX, XML, MS SQL Server 2005, SQL Server Reporting Service, nHibernate Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. PG:M.Tech Company Profile: Distil Technologies Distil Technologies, India-Mumbai based young IT organization with technology at its center and focuses on design and development in the areas web services.\ Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,8 - 10 yrs
SAP BOBJ HANA Architect,"Job Description Â Send me Jobs like this Position : SAP BOBJ HANA Architect Location : Chennai Job Description: Over 9 years of experience in SAP with 8 years of experience in SAP BOBJ with minimum 2 years of experience in SAP HANA. As a SAP BOBJ HANA Architect, will be responsible for Translating business requirements into SAP Business Objects Reports and Dashboard design. Responsible for designing and creating key architectural components, such as Dashboard, WEBI, Universe and Explorer etc. Responsible for developing strategy for implementing SAP HANA for BOBJ tools and will be working closely with project Business Analyst, Data Architect and ETL Developer to ensure that the end to end designs meet the business and data requirements. At least one full life cycle implementation experience of SAP HANA on SAP BOBJ tools is required with strong experience in Design Studio, Dashboard, WEBI, Explorer, QAAWS, Live Office, Universe, Xcelsius and Mobile BI. Expertise with LUMIRA, Visual intelligence and Launchpad is preferred. BS / B Tech degree in Computer Science, related technical field preferred, or equivalent work experience. Salary:INR 9,00,000 - 11,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Technical Architect Keyskills HANA BOBJ Desired Candidate Profile Education- UG: Any Graduate PG:Post Graduation Not Required Doctorate:Doctorate Not Required Please refer to the Job description above Company Profile: EITACIES SOLUTIONS(INDIA) PVT LTD Before moving forward I will brief you 'EITACIES' is an emerging IT consulting & software services company. Offering a wide spectrum of services to its global clients by cost effective services, on time delivery and precise quality solutions whereby clients achieve maximum satisfaction and return on their technology investments. For skilled professionals ask EITAcies, the edge where we bring skill with the experience. Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,8 - 10 yrs
SAP ABAP Consultant,"Job Description Â Send me Jobs like this SAP ABAP 4.8+ yrs into SAP ABAP Exp on RICEW Exp on sub modules like SD and MM Relevant Experience: 5+ Years * Joining Time timeline: Immediate or max. Of 15 days * Designation: (SE) Software Engineer/ (SSE) Senior Software Engineer * Rounds of interview - 2, F2F only * Key Skills:SAP ABAP Salary: Not Disclosed by Recruiter Industry: Recruitment / Staffing Functional Area: IT Software - ERP , CRM Role Category:System Design/Implementation/ERP/CRM Role:Functional Outside Consultant Keyskills SD SAP ABAP MM Software Engineering Desired Candidate Profile Â Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Ecentric Solutions Pvt. Ltd. Ecentric Solutions Pvt. Ltd. Download PPT Photo 1 Â View Contact Details",IT Software - ERP,5 - 10 yrs
Opening for .net Developer with 3to6 Years Experience Bangalore,"Job Description Â Send me Jobs like this Hai Greetings from Anantha Cybertech Pvt Ltd!!!!!!!!!!! Designation: Asp.Net WCF developer Location: Bangalore job type:Permanent position Notice period: 15 days Required Qualifications / Skills: .NET, C#, SQL Server (2008 and Above), WCF, SOAP, REST, Web API, ASP.NET MVC, EntityFramework, Web API, jQuery, JavaScript, bootstrap Should have 2 to 3 years experience. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Asp.net Wcf Desired Candidate Profile Please refer to the Job description above Company Profile: Anantha Cyber Tech Pvt Ltd cmmi level 3 company with level 5 standards cmmi level 5 company Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,3 - 6 yrs
Urgent Requirement with our Client for SAP Basis Admin with HANA A,"Job Description Â Send me Jobs like this Currently we have an urgent requirement with one our client for SAP BASIS Admin with HANA Admin requirement Skill : for SAP BASIS Admin with working experience in HANA Admin Relevant Experience : 5+ years Work location : Bangalore Regarding Notice Period: 15- 20 Days (only immediate joiners are preferred) JD: Position requires a bachelor's degree in Information Technology or equivalent. Ideally candidate would possess 7 - 10 years of experience with a SAP environment; centered around maintaining SAP Netweaver Business Suite; including ERP 6.0, BI 7.31, CRM 7.03, SRM 7.03, SCM 7.03, Solution Manager 7.1, Hands on experience on SAP HANA Administration, PI 7.31,TREX 7.1, PLM 7.02. Experience on BOBJ Reporting/Dataservices would be added advantage. Concentration in SAP Monitoring, Administration and Maintenance, ChaRM change management, SAP Webs-services, SAP Basis systems reside in a primarily Unix server environment, with several modules in Windows and Linux. Databases are primarily Oracle 11.2.0.4.Experience or understanding of Performance management and systems management utilizing SAP supplied tools Knowledge of SAP interfaces, such as RFC, ALE, CIF, SAP Connect, PI, SAP Certificates, Single-Sign-on. SAP Netweaver concepts and hands-on working knowledge of SAP Java stack and ABAP stacks. Understanding or hands-on working knowledge of SAP Solution Manager components (CHaRM change management, MOPZ, LMDB, SMD Diagnostics/RCA, Monitoring, Projects, CCMS), System Landscape Directory, Process Integration (PI). Understanding or working knowledge of SAP Transport Management system (CTS & CTS+), TDMS, client copy, System Refresh activities, Print and spool management, tuning SAP in various environments, profile and parameter management, security management, file and storage management. Performing Installations, Upgrades, SPS/EHP Upgrades, backup/recovery, systems configuration and integration, and production support. Key Responsibilities: Perform activities/tasks as directed by team lead. Working in local/remote matrixed teamwork environment. Self-motivated and discipline to meet deadlines with speed, accuracy and professional attitude. Excellent written and oral communication skills. Excellent analytical and trouble-shooting skills. Work well with and through others within and outside IT Able to trouble-shoot a variety of situations - network, SAP system, database, etc, especially from within the SAP system Strong skills in project planning, and develop/maintain documentation for processes and procedures. ITIL, Lean methodologies preferred. If interested, reply with your profile with the following mandatory details, Total Exp Relevant Exp. Current Company Current CTC Expected CTC Notice Period Offers if any Marlabs is a USA based award winning provider of innovative Information Technology and Knowledge Process Outsourcing services. Founded in 1996 and headquartered in Piscataway, New Jersey (USA), Marlabs with revenues of US $ 120 million has a culture of success balanced between consistent financial growth and excelling employees. Strong and dedicated human capital strength of over 2000, a network of delivery centers in USA, Canada, Mexico and India and a unique multishore model utilizing our Global Technology Centers of Excellence are at the core of Marlabs success over the years. Marlabs has assisted more than 100 customers across different verticals to achieve success through both business and operational excellence. Marlabs offers a wide range of Information Technology services and has deep domain expertise across a number of verticals including Healthcare, BFSI, Airline Services, Energy and Utilities & Education. Our Global Centers of Excellence (CoE) specialize in the areas of Cloud Computing, Mobile Technologies, Information Security /GRC, BI-Analytics, Open Source/ Java, Microsoft and ERP Technologies. In India, Marlabs has development centers in Bangalore, Mysore, Pune, Cochin and Trivandrum. With established long-term partnerships with Microsoft, HP, IBM, Oracle, Information Builders, Teradata, MicroStrategy, VMware, Quiterian and Amazon Web Services, Marlabs is well positioned to deliver innovative state-of-the-art solutions. Marlabs is committed to the preservation of environment and a strong proponent of the Go Green theme. Over the years, Marlabs has implemented numerous initiatives both within and outside the organization as a small step towards contributing to a greener planet. Marlabs has been recognized as one of the best places to work in New Jersey, ranked in the Fast 50 and Fast 500 by Deloitte & Touche and is also a Hall of Fame Inductee by Inc. 500. For more information, please visit www.marlabs.com Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills SAP Netweaver Oracle Unix Solution Management SAP Basis Administration Microstrategy Transport Management System Web Services Open Source Management Systems Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization Please refer to the Job description above Company Profile: Marlabs Software Pvt. Ltd. This is an MNC based in India, USA, Australia, UK and Singapore. Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,5 - 10 yrs
Paid Advertising Specialist (SEM/PPC/Display),"Job Description Â Send me Jobs like this Job Description : strong> p> Execute paid search marketing, PPC, display advertising programs to meet traffic & conversion goals. li> Manage & optimize Google Adwords campaigns, ads on Facebook & Linkedin. li> Find new opportunities to drive traffic & sales. li> Extend the campaigns to Mobile, Video and Social. li> Measure ROI. li> Skills Required: strong> span> li> Strong analytical & writing skills. li> Experience with Google Analytics. li> Proficient in Google Adwords. Certification is a plus. li> Able to prioritize tasks & meet deadlines. li> Able to manage campaigns independently & manage teams. li> ul> p> Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Marketing Role:Marketing Manager Keyskills sem ppc google adwords facebook google analytics linkedin display advertising writing skills campaigns programs Desired Candidate Profile Education- UG: Any Graduate PG:MBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: NSG SYSTEM PVT LTD NSG System is a Delhi/ NCR based IT firm delivering high quality, cost effective, reliable result-oriented web and e-commerce solutions on time for a global clientele. Professionalism, Skill and Expertise are the tools we use to make the web work for your business bringing in maximum return on your investment in shortest possible time. We have delivered on IT projects of varsying complexities for our very demanding and Internet savvy clients spread across the globe. We develop unique web solutions which ensure increased efficiency and competitive advantage for your business and thus to your end users. p> Download PPT Photo 1 Â View Contact Details",Marketing,2 - 7 yrs
"QA, QC & QC -micro- Injectables for Leading Pharma Company in India","Job Description Â Send me Jobs like this Position Title : QA, QC & QC-Microbiology - Formulation (Injectables) Pharma. Work Level : Officer to Jr. Manager Qualification : B.Sc, M.Sc, B.Pharma & M.Pharma Full Time Experience : 2 to 8 Years Job Location : Bangalore No. of Positions: 40 Interview Location: Bangalore Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Production , Manufacturing , Maintenance Role Category:Production/Manufacturing/Maintenance Role:Quality Assurance/Quality Control Executive Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Â 1. Candidate should have experience Analysis & Evaluvation of all Raw (incoming ) materials, In process intermediate and Finished products.2. Planing and monitoring routine analysis.3. Calibrations of all Quality control instruments like HPLC, GC, UV, IR, UR, TLC, TOC, FTIR, VIS, PH meter & Etc.,Â 4. Good knowledge of GLP, ICH & FDA Guidelines5.Review of IQ, OQ, PQ & DQ documents Company Profile: BVR People Consulting A Leading Pharma Company in india Download PPT Photo 1 Â View Contact Details",Production,2 - 7 yrs
Startup - Node.js Developer,"Job Description Â Send me Jobs like this As a node.js developer your work will primarily be focused on building and polishing server side functionalities of the mobile application we are building at Qulp. Knowledge of RESTful APIs, JSON, AWS, EC2, Django, Android, would be of significant add-on for your candidature Skills: Android, Node.js, RESTful Services, REST APIs, AWS/EC2/ELB/S3/DynamoDB, Front-End/Full-Stack (UI-AngularJS-JS-NodeJS). Salary: Not Disclosed by Recruiter Industry: Internet / Ecommerce Functional Area: IT Software - Mobile Role Category:Programming & Design Role:Software Developer Keyskills Android Node.js RESTful Services REST APIs AWS EC2 ELB S3 DynamoDB Front - End Full - Stack mobile application Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required Â Company Profile: Qulp Our product is the web platform where anyone, from a product conscious consumer to an individual with a remarkable idea can post and share potential consumer product concepts, selectively collaborate with people who can help make their idea better while utilizing key design thinking tools that are embedded within the web platform. Download PPT Photo 1 Â View Contact Details",IT Software - Mobile,2 - 4 yrs
Medical Coding Transcription - We Will Help You Out - Wtsap 9789004777,"Job Description Â Send me Jobs like this Welcome to YOGAM BPO YOGAM BPO means happiness, success and freedom. YOGAM BPO welcomes/ invites people with dreams who are willing to invest genuine effort to make their dream come true. We sincerely believe that YOGAM BPO provides you the opportunity for Home Based Transcription, Medical Coding, Medical Billing and Clinical Research. How you take advantage of this opportunity will depend on how willing you totally get involved. YOGAM BPO has six dedicated training units in Chennai and Tamil Nadu. YOGAM BPO conducts free campus/ awareness workshop regularly for colleges in Tamil Nadu, Andhra Pradesh, Karnataka & Kerala. ADVANTAGES: Dedicated and experienced trainers Option to choose ONLINE (via Skype) or OFFLINE (at our branches) training 10 years of experience in healthcare domain Registered Organization Tie up with leading Multinational companies in various locations. HIGHLIGHTS: Assured Job Placement Day-shift job (if required night shift also arranged) Certified Course Suitable for both Genders Placement in Multinational Company 100% on job training Salary Rs.9000/- to 45,000/- pm (performance based) Suitable for housewives, college students, part time or fulltime job seekers (medical transcription) Flexibility to work from HOME or OFFICE (medical transcription) MEDICAL CODING It is a process dealing with standardized numeric and alpha numeric codes which are assigned to medical diagnosis and procedures. Eligibility: Candidates should own BDS, MPT, BPT, M.sc., / B.sc., & Dip in Nursing, M.Pharmacy / B.Pharmacy, M.sc., / B.sc., Microbiology, M.sc., / B.sc., Bio-chemistry, M.sc., / B.sc., Bio Informatics, M.sc., / B.sc., / B.Tech Biotechnology, B.sc., / M.sc., Biology, M.sc., / B.sc., Zoology, BE Bio-Medical etc., Age below 32 years. Training Modules : Anatomy & Physiology International Classification of Diseases (ICD) guidelines Current Procedural Terminology (CPT) guidelines HCPCS (Healthcare procedural coding system) Document Coding HOME BASED MEDICAL TRANSCRIPTION Medical Transcription deals in the process of converting voice recorded reports as dictated by physicians or other healthcare professionals into text format. Eligibility : Good Listening skills Basic Computer knowledge Basic English Knowledge No Age limit Training Modules : Anatomy & Physiology Transcription softwares American Accent Medical Terminologies Dos and Donts in transcription MEDICAL BILLING It is the process of submitting and following up claims with health insurance companies in order to receive payment for services rendered by healthcare providers. Eligibility : Any Graduates Good Typing Skills Age below 32 years Modules : Demographics Charge entry Quality check Claims submission Payment posting AR follow-up AR calling Salary:INR 2,00,000 - 3,00,000 P.A. PLUS Incentives, Weekly FIVE Working Days, Saturday & Sunday OFF. DAY Shift. JOB Location IN Chennai, Hyderabad, Bangalore, Mumbai, Kolkata, Cochin, Trivandrum, Vishakhapatnam, Vijayawada, Trichy, Coimbatore, Madurai, Villupuram. Refer Your Friends! Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Other Role:Medical Transcriptionist Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Why YOGAM ?Registered training institute More than 10 years of dedicated services.Campus drive at our premises on regular basis. Placements in Leading MNCsPlacements at preferred location Provide home based projects (Medical Transcription) Immediate placement after completion of training100% placement assurance letter is issued at the time of joiningTie up with leading MNC in metro citiesQualified and experienced TrainersMore than 500 openings in ChennaiRegular college orientation programs conducted.For More Details Contact :PriyaArvind @9710889898Amitha @ 09952996611Alphonsa @ 09840338044Manju @ 09940111836Buvana @ 09789949099Jancy @ 07299088801Dhanalakshmi @ 07401323339Joelt @ 09790922010Hema @ 09789013333Porchelvi @ 09003116860Gayathri @ 09094040533Saranya @ 09994966186Mohamed @ 09840040143 Give Likes to www.facebook.com/yogam.bpowww.yogambpo.orgwww.yogambpo.inWhatsApp @ 09789004777YOGAM BPO-CHENNAI [TAMBARAM]306, Mudichur Road,Opp. Hotel Lions India,Near Pizza Corner,WEST TAMBARAM,CHENNAI - 600 04509710889898 / 09840030179 / 09940111836 / 09952996611 / 07299088801YOGAM BPO-CHENNAI [MADIPAKKAM]51, C M Complex,MADIPAKKAM,Opp.Kumaran Theater,CHENNAI - 600 09109840040143 / 09710889898 / 09789949099 / 09003116860 /044 - 43579730YOGAM BPO-CHENNAI [PERAMBUR]3, 2nd Floor, Ragavan Street,M H Road,Near PERAMBUR Railway Station,CHENNAI - 600 01109789013333 / 09952996611 / 09940111836 YOGAM BPO-VELLORE35, Kosa Street,Kosapet,Behind Raja Theater,Opp. Classic Book Center,VELLORE - 109789949099 / 07401323339 / 09940111836 / 09094040533 / 072990888010416 - 4203332YOGAM BPO-SALEM14, 1st floor,S V T Complex,opp. Syndicate Bank,Near KRG Hospital,Ramalinga Madalaya Street,Gugai (Palam stopping)SALEM - 609994966186 / 09790229197 / 09840040143 / 09094040533 / 099401118360427 - 4036668YOGAM BPO-TIRUNELVELI26A, 2nd Floor,Srinivasagam Complex,Opp.Arya's Super Market,Near Karur Vysya Bank,Trivandrum Road,Murugankurichi,TIRUNELVELI - 209840338044 / 09790922010 / 09840040143 / 09940111836 /0462 4000006Accommodation Support for Outstation Candidates Company Profile: YOGAM BPO WHY PREFER YOGAM:IT IS THE QUALITY:EACH EVERY STUDENT THAT WE PLACE IS DIRECTLY TRAINED BY OUR CERTIFIED TRAINERS WITH TRUST AND RELIABILITY. THEY ARE GENUINE YOGAM TRAINERS.TRAINING MODULES ARE DESIGNED PRODUCED SPECIALLY FOR YOUR CAREER. ONLY THE YOGAM GENUINE TRAINING METHODOLOGY PROTECTS YOU AND TRAVELS WITH YOU WITH THE JOB GUARANTEE.CONVENIENCE:WE HAVE 120 CLIENTS AND THE SERVICES OF YOGAM ARE PAN INDIA AVAILABLE IN ALL THE INDIAN LOCATIONS EXTENDING TO DUBAI, ABU DABI AS WELL.SELECT THE JOB OF YOUR CHOICE AT THE TIME OF ENROLLMENT. YOUR RECRUITMENT COORDINATOR WILL HELP YOU TO COMPLETE YOUR JOINING FORMALITIES TO GET STARTED TOWARDS YOUR TRAINING WITH COMPLETE CONFIDENCE AND TRUST.SAVINGS:MANY JOB SEEKERS ACCEPT THE RISK OF JOINING OTHER TRAINING CENTERS OF QUESTIONABLE ORIGIN OR SERVICE QUALITY.GENUINE TRAINING IS COMPETITIVE WITH LOWER QUALITY SERVICES AVAILABLE IN THE LOCAL JOB MARKET WHICH MAY HARM YOUR CAREER AND RISK YOUR PLACEMENT FORMALITIES TOO.AN INVESTMENT IN QUALITY:YOU HAVE INVESTED A LOT TO ACQUIRE A CAREER VIA YOGAM ONE OF THE BEST SERVICE PROVIDERS IN INDIA. YOU ALSO INVEST THOUSANDS OF RUPEES OVER THIS TRAINING ON TRUST, TO TAKE CARE OF YOURSELF AND YOUR DEPENDENTS. THINK OF US EVERY TIME YOU RECEIVE YOUR SALARY. REMEMBER US WHEN YOU MOVE TO A SENIOR LEVEL IN YOUR COMPANY. THANK YOGAM BY GIFTING YOUR FRIENDS TO US FOR THEIR CAREER TRAINING. All OUR PROCESSES ARE HOLISTIC IN APPROACH WORKING IN HARMONY TO DELIVER THE MEMORABLE EXPERIENCE AND EXPECTATION. TRUST ONLY YOGAM THAT YOU DEMAND.WhatsApp us @ 09789004777DIAL - 09952996611, 09790922010, 07401323339, 09790229197, 09789013333, 09840040143, 09789949099, 09840338044, 09940111836, 097299088801, 09003116860, 09094040533 Download PPT Photo 1 Â View Contact Details",ITES,0 - 1 yrs
Customer Care Executive,"Job Description Â Send me Jobs like this Hiring For Customer Service Backend & Inbound Process For International Domestic Bpo Job Location- Delhi- NCR Criteria: Excellent Communication Skill Day/Night Shifts Collect Your Offer Letter Now For Interview Call Hr kunal 8826158917 Salary:INR 1,50,000 - 4,00,000 P.A. 15000 Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Other Role:Fresher Keyskills International BPO Inbound Process BPO and Call Centre bpo and voice bpo and outbound bpo and inbound bpo and contact centre bpo and ites bpo and csr bpo and cse voice process and cse kpo and cse call center and cse ites and cse Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required Please refer to the Job description above Company Profile: Think Visions BPO We are required freshers for voice process Process: Domestic/international Profile : cce(customer care executive), Telecaller Inbound/outbound + Back kunal 8826158917 Download PPT Photo 1 Â View Contact Details",ITES,0 - 0 yrs
Wordpress Developer,"Job Description Â Send me Jobs like this WE are looking for a candidate with experience in the following areas: - WordPress UI Development. - Responsive Wordpress theme development - Extensive understanding of Wordpress as a CMS. - WordPress theme development from scratch using provided HTML files. - Knowledge of PSD to Wordpress conversion would be a plus. - Hands-on experience of HTML5/CSS3 would be a plus. - Hands on experience of handling responsive theme structure. - Experience of working with Java Script/jQuery, Parallax designs. - Knowledge of other OpenSource Content Management Systems would be a plus. - Ability to customize the Wordpress with php. Salary:INR Best In the Industry Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Javascript HTML JQuery Wordpress PHP UI Development Open Source PSD Wordpress theme Psd to Wordpress WordPress Customization Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required, B.Tech/B.E. - Any Specialization, Computers, BCA - Computers PG:Any Postgraduate - Any Specialization, Post Graduation Not Required, M.Tech - Any Specialization, Computers, MCA - Computers Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required We are seeking a dynamic professional, who is willing to work with new as well as existing wordpress projects. Company Profile: Mintlogix Solutions Pvt. Ltd. MintLogix Solution Pvt Ltd. is a leading software and web development agency with clientele from US/UK/AUS, looking for dynamic Wordpress professionals for our Rohini-Delhi office. Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,1 - 2 yrs
"Sales Executive, Ad Sales - Star One","Job Description Â Send me Jobs like this Service clients & advertising agencies New business development Achieve revenue targets Understanding of sales operations The Candidate Excellent communication and presentation Skills. Should have excellent market knowledge. Strong interpersonal skills. Years of experience: 2-3 years Salary: Not Disclosed by Recruiter Industry: Media / Entertainment / Internet Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales Executive/Officer Keyskills Sales Executive Ad Sales - Star One Desired Candidate Profile Education- UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Star India Pvt Ltd Website http://www.startv.in Industry Media, Entertainment, Advertising & Related Services (Media - Television) Company Turnover 1000 - 2500 Crores Company Size 1001 - 5000 Employees Download PPT Photo 1 Â View Contact Details",Sales,2 - 3 yrs
Manager/ Sr. Manager Transition,"Job Description Â Send me Jobs like this 7+ years in BPO/KPO Transitions with a combination of Customer Service operations. - Strong program management skills with PMP trained / Certified - Understanding of various transition phases from Contracting to Steady State operations. - Responding to RFI- s, RFP and understanding of sales cycle preferred. - Strong MS Project, MS Office (PPT, Visio, Excel & Word) skills. Salary: Not Disclosed by Recruiter Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Operations Role:Transitions/Migrations Manager Keyskills Transition Migration Mobilization Mobilisation Manager Transition RFI RFP Customer Service operations BPO KPO Transitions Desired Candidate Profile Â Education- UG: Any Graduate - Any Specialization Doctorate:Doctorate Not Required Company Profile: Enigma Human Capital Leading client of Enigma Human Capital Download PPT Photo 1 Â View Contact Details",ITES,7 - 10 yrs
Sr. Developer- (android OR iOS),"Job Description Â Send me Jobs like this Hi, Greetings from Mount Talent Consulting. (www.mounttalent.com ) We are looking for Sr. Android and iOS Developer for one of the lagest Dubai based group (Ecommerce-Retail/Hospitality) which is having over 55,000 employees, operates over 2,000 outlets, occupying over 27 million sq. ft. across 20 countries. Job Location - Bangalore 1 For Android:- Job Specifications * Minimum 5 years experience in native Android development * Should have good knowledge with versions of SDK, Native Components and Material design. * Should have good understanding on Android Mobile Development Lifecyclecle * Strong object oriented programming skills and understanding of MVC pattern * Should have good knowledge with IDE's - Eclipse and Android Studio * Should have experience debugging an Android app, including but not limited to DDMS, ADT * Experience with analytics and performance monitoring sdks - Google Analytics, Flury, Crashlytics, New Relic * Experience in social network sdk integration - Facebook * You have strong programming knowledge of Java, XML, targeting different resolutions * You should have knowledge in Web Services / REST API's / JSON Parsing * Experience in integration with automation tools - Appium, Sikuli * You must have exposure to Agile delivery methodologies * Experience in managing Google Play account and publishing App 2 For iOS Developer: - Job Specifications * Minimum 5 years experience in native iOS development * Strong knowledge of latest Apple technologies and developer tools * Extensive experience developing in Objective-C and Swift * Strong object oriented programming skills and understanding of MVC pattern * Experience with unit tesing frameworks - XCTest * Experience with memory management and debugging tools - Instruments * Experience with analytics and performance monitoring sdks - Google Analytics, Flury,Crashlytics, New Relic * Experience in social network sdk integration - Facebook * Strong inclination for adherence to iOS design guidelines and attention to details * You should have knowledge in Web Services / REST API's / JSON Parsing * Experience in integration with automation tools - Appium, Sikuli * Experience in managing Apple developer account and iTunes connect * You must have exposure to Agile delivery methodologies And This Is our client We're a young, growing Web Team of 150 within a 50,000 strong, multi billion leading retail and hospitality conglomerate* We're headquartered in Dubai, UAE and Bangalore, India* Our Group's nearly 42 years old and we're 6* We're dead serious about design and the UX -- they always go first* We've become a lot better at Product -- Product Strategy, Product Design, Product* Management, Product Engineering and Product Marketing -- and still working at it* We've already redesigned 13 websites for our Group* Our online retail business website just completed its 2 years. * Our newer divisions include Operations, Warehouse, Merchandising, Content* Management, Copywriting, Photography, Finance and HR* Our salaries are competitive while our benefits are some of the best in the industry* We have an awesome open-plan office with plenty of natural light and lofty ceilings* We're 99% Mac and 1% Windows (it's all about balance)* We have a PlayStation, Table Tennis and Pool Table, with competitive players to* Match* About Our Group This Group, founded in 1973, has a diverse portfolio of retail and hospitality brands. It has successfully grown into one of the largest and most successful retail conglomerates in the MENA region with an entrepreneurial culture focused on delivering exceptional value * The Group employs over 45,000 people, and operates over 1,600 outlets covering 22 million square feet across 19 countries in the Middle East, North Africa and India region* The Group offers an attractive, tax-free compensation salary, annual incentive, benefits including family medical and annual family return tickets, and an opportunity to grow your leadership career with an strategic team within one of the most successful and fastest growing retailers in the region * So If you are interested then please revert back to me with your updated profile ASAP on sudershan@mounttalent.com OR call me on +91 9910092174 // +91 9818939628 for more clarifications. Salary:INR Best in Industry Industry: Internet / Ecommerce Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:System Analyst Keyskills Product Strategy Product Management Java IOS Mobile Development Objective C android Debugging XML Web Services Google Analytics Desired Candidate Profile Education- UG: B.Tech/B.E. PG:Any Postgraduate, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Any Specialization, Doctorate Not Required Company Profile: Mount Talent consulting iOS and Android Developers MTC Mount Talent Consulting, an ISO 9001:2008 Certified Company, member of CII, NSDC, NASSCOM, is one of India's leading global HR Consulting firm specializing into multiple facets of HR, Knowledge Services-Training's & Assessments & Consulting. MTC started operations in 2007 with a vision to set new benchmarks while delivering on niche turnkey assignments in the industry. With time we have evolved to cater to a diverse set of clients spread across different geographies. We constantly strive to maximize our client's ROI (Return on Investment) and work on increasing the top line (Revenue) of the client's business by delivering the best. MTC has reached out to an array of clients with functions such as Recruitment's, Consulting & Knowledge Services through its team of young & dynamic professionals. Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,4 - 8 yrs
